,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
5716,Jinjer,Dip A Sail,Roman (double),['Distortion Guitar'],Intermediate,3/8,0.08,0.35,0.12,0.34,Intermediate,3/8,0.29,0.51,Advanced,8/8,Intermediate,6/8,Advanced,2/8
5717,Jinjer,Copycat,Distortion Guitar,[],Intermediate,4/8,0.33,0.13,0.83,0.02,Intermediate,4/8,0.64,0.5,Advanced,8/8,Advanced,6/8,Beginner,7/8
5718,Jinjer,Disclosure,Distortion Guitar,[],Intermediate,4/8,0.79,0.27,0.02,0.81,Intermediate,4/8,0.35,0.31,Advanced,1/8,Advanced,2/8,Beginner,5/8
5719,Jinjer,Mediator,Distortion Guitar,[],Intermediate,5/8,0.58,0.7,0.15,0.14,Intermediate,5/8,0.02,0.15,Intermediate,1/8,Beginner,6/8,Beginner,8/8
5720,Jinjer,Vortex,Overdriven Guitar,[],Intermediate,3/8,0.03,0.31,0.77,0.65,Intermediate,3/8,0.16,0.26,Advanced,7/8,Intermediate,3/8,Advanced,1/8
5721,Jinjer,Call Me A Symbol,Distortion Guitar,[],Intermediate,5/8,0.67,0.89,0.02,0.07,Intermediate,5/8,0.67,0.05,Advanced,5/8,Intermediate,3/8,Intermediate,8/8
5722,Dadaroma,Risley Circus,Right Guitar,['Distortion Guitar'],Intermediate,3/8,0.49,0.95,0.57,0.58,Intermediate,3/8,0.52,0.73,Advanced,2/8,Advanced,8/8,Intermediate,8/8
5723,Matheus Miranda,psychosocial 90,James Root #4,['Distortion Guitar'],Intermediate,4/8,0.66,0.37,0.63,0.54,Intermediate,4/8,0.73,0.67,Advanced,8/8,Advanced,1/8,Advanced,8/8
5724,Bautek,bautek,Utwór 2,['Distortion Guitar'],Intermediate,3/8,0.65,0.89,0.17,0.2,Intermediate,3/8,0.75,0.08,Intermediate,1/8,Beginner,7/8,Beginner,2/8
5725,Eskimo Callboy,gtp,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8,0.43,0.58,0.85,0.95,Intermediate,3/8,0.31,0.49,Beginner,4/8,Beginner,7/8,Intermediate,2/8
5726,Cameron Riggenbach,Test 3,Left Guitar,['Distortion Guitar'],Intermediate,3/8,0.52,0.65,0.5,0.83,Intermediate,3/8,0.02,0.67,Intermediate,4/8,Advanced,3/8,Intermediate,2/8
5727,Ben Mason,Radioactive,Synth Pad,['Lead 4 (chiff)'],,,0.38,0.61,0.74,0.65,,,0.44,0.69,Advanced,4/8,Intermediate,3/8,Advanced,2/8
5728,Slipknot,My Plague (Guitars only),Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8,0.95,0.53,0.32,0.92,Intermediate,3/8,0.64,0.13,Intermediate,6/8,Intermediate,7/8,Beginner,2/8
5729,Creatures Of Furkahn,White Shaman,Fuzz,['Distortion Guitar'],Intermediate,3/8,0.2,0.18,0.22,0.83,Intermediate,3/8,0.64,0.48,Advanced,7/8,Intermediate,4/8,Advanced,3/8
5730,Akame Ga Kill!,Adramelech,Rhythm Guitar ,['Distortion Guitar'],Intermediate,3/8,0.19,0.48,0.09,0.02,Intermediate,3/8,0.75,0.5,Advanced,1/8,Advanced,5/8,Beginner,1/8
5731,Slipknot,Psychosocial Solo Standart Tuning,RYTHM Guitar,['Distortion Guitar'],Intermediate,3/8,0.83,0.12,0.27,0.33,Intermediate,3/8,0.12,0.37,Beginner,2/8,Intermediate,6/8,Advanced,8/8
5732,Creatures Of Furkahn,Creature 3,Ritim,['Distortion Guitar'],Intermediate,3/8,0.11,0.28,0.79,0.64,Intermediate,3/8,0.99,0.15,Intermediate,7/8,Beginner,6/8,Advanced,1/8
5733,Creatures Of Furkahn,Swamp,Leslie,['Electric Guitar (jazz)'],Intermediate,3/8,0.93,0.88,0.47,0.64,Intermediate,3/8,0.99,0.57,Beginner,7/8,Advanced,7/8,Advanced,6/8
5734,Creatures Of Furkahn,Disease,Leslie,['Overdriven Guitar'],Intermediate,3/8,0.59,0.61,0.3,0.95,Intermediate,3/8,0.6,0.23,Beginner,1/8,Beginner,3/8,Intermediate,1/8
5735,Creatures Of Furkahn,Kanapur Theme,Ekstra,['Acoustic Guitar (steel)'],Intermediate,3/8,0.22,0.39,0.65,0.62,Intermediate,3/8,0.79,0.27,Advanced,7/8,Beginner,3/8,Intermediate,2/8
5736,Zombienesa,proyecto 2,Pista 4,['Distortion Guitar'],Intermediate,3/8,0.0,0.93,0.62,0.57,Intermediate,3/8,0.31,0.01,Intermediate,2/8,Intermediate,7/8,Beginner,4/8
5737,Neolix,Матричный шторм,Electric Guitar,['Distortion Guitar 2'],Intermediate,3/8,0.33,0.16,0.03,0.84,Intermediate,3/8,0.75,0.88,Beginner,3/8,Advanced,7/8,Advanced,6/8
5738,Of Mice And Men,Bloom,Lead,['Overdriven Guitar'],Intermediate,3/8,0.94,0.61,0.1,0.59,Intermediate,3/8,0.2,0.71,Intermediate,2/8,Beginner,2/8,Intermediate,5/8
5739,Knocked Loose,Belleville,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.71,0.26,0.57,0.63,Intermediate,3/8,0.0,0.73,Advanced,2/8,Beginner,7/8,Intermediate,1/8
5740,Leo,Bad Habits,Lead Guitar,['Distortion Guitar'],Intermediate,3/8,0.95,0.33,0.03,0.11,Intermediate,3/8,0.32,0.71,Beginner,1/8,Beginner,6/8,Advanced,1/8
5741,Furkahn,08 - Kalp/Heart,Ritim,['Distortion Guitar'],Intermediate,3/8,0.72,0.17,0.81,0.04,Intermediate,3/8,0.51,0.29,Advanced,4/8,Beginner,7/8,Beginner,2/8
5742,Jinjer,Wallflower,Dist Guitar,['Distortion Guitar'],Intermediate,3/8,0.42,0.01,0.96,0.56,Intermediate,3/8,0.6,0.56,Intermediate,7/8,Intermediate,2/8,Beginner,1/8
5743,Amaranthe,Viral,Electric Guitar,['Distortion Guitar'],Intermediate,3/8,0.11,0.75,0.39,0.25,Intermediate,3/8,0.16,0.24,Advanced,8/8,Beginner,4/8,Beginner,2/8
5744,Ice Nine Kills,Rainy Day,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.99,0.36,0.39,0.79,Intermediate,3/8,0.4,0.97,Intermediate,7/8,Beginner,5/8,Beginner,8/8
5745,Me,Killswitch,Distortion Guitar R,['Distortion Guitar'],Intermediate,3/8,0.43,0.13,0.31,0.1,Intermediate,3/8,0.97,0.0,Advanced,6/8,Intermediate,7/8,Advanced,7/8
5746,Me,Lucidity In My Name,Clean Guitar R,['Electric Guitar (clean)'],Intermediate,3/8,0.88,0.28,0.54,0.04,Intermediate,3/8,0.11,0.5,Beginner,4/8,Advanced,3/8,Intermediate,4/8
5747,Me,SIN,Distortion Guitar R,['Distortion Guitar'],Intermediate,3/8,0.4,0.53,0.23,0.12,Intermediate,3/8,0.24,0.08,Advanced,2/8,Advanced,7/8,Advanced,6/8
5748,Tetrarch,Negative Noise,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.37,0.09,0.14,0.14,Intermediate,3/8,0.27,0.96,Beginner,1/8,Beginner,1/8,Advanced,7/8
5749,Ingested,The Diving Right of Kings,Guitar 1,['Distortion Guitar'],Intermediate,5/8,0.88,0.95,0.3,0.41,Intermediate,5/8,0.47,1.0,Intermediate,8/8,Advanced,1/8,Intermediate,2/8
5750,Gentle Men,Your Boyfriend Doesn't Scare Me (ft. Kmac2021),L Guitar,['Distortion Guitar'],Intermediate,3/8,0.92,0.24,0.78,0.8,Intermediate,3/8,0.44,0.97,Advanced,7/8,Advanced,6/8,Intermediate,4/8
5751,Orbit Culture,Flight of the Fireflies,Lead,['Overdriven Guitar'],Intermediate,4/8,0.31,0.52,0.02,0.92,Intermediate,4/8,0.61,0.8,Advanced,6/8,Beginner,1/8,Intermediate,7/8
5752,Cameron Riggenbach,O,Violin 1,['Violin'],,,0.83,0.3,0.15,0.74,,,0.69,0.42,Beginner,1/8,Beginner,7/8,Advanced,4/8
5753,Slipknot,Everything Ends (IOWA),Jim #4 (Guitar 1),['Distortion Guitar'],Intermediate,3/8,0.65,0.29,0.82,0.08,Intermediate,3/8,0.86,0.22,Advanced,1/8,Intermediate,2/8,Intermediate,2/8
5754,Shpak,Ректальная Служба,Track 1,['Distortion Guitar'],Beginner,1/8,0.11,0.02,0.33,0.87,Beginner,1/8,0.25,0.55,Advanced,8/8,Beginner,1/8,Advanced,3/8
5755,Pacifist,Lost,Track 2,['Distortion Guitar'],Intermediate,3/8,0.89,0.11,0.7,0.84,Intermediate,3/8,0.86,0.13,Advanced,1/8,Intermediate,6/8,Beginner,8/8
5756,Bautek,adam pisze piosenki,Qooba,['Distortion Guitar'],Intermediate,4/8,0.61,0.24,0.19,0.37,Intermediate,4/8,0.99,0.61,Beginner,8/8,Intermediate,1/8,Intermediate,7/8
5757,Jinjer,Captain Clock,GUITAR LEFT,['Distortion Guitar'],Advanced,6/8,0.37,0.98,0.31,0.09,Advanced,6/8,0.6,0.09,Advanced,3/8,Beginner,6/8,Intermediate,1/8
5758,Damageplan,Fuck You,Dime Rhythm,['Distortion Guitar'],Intermediate,3/8,0.34,0.82,0.44,0.43,Intermediate,3/8,0.2,0.48,Intermediate,5/8,Advanced,3/8,Intermediate,8/8
5759,Sage And Stifling,Between Humans And Nature,Lead Sint,['Pad 1 (new age)'],,,0.72,0.88,0.16,0.08,,,0.05,0.15,Advanced,3/8,Beginner,7/8,Beginner,2/8
5760,Emetocropoklismanecropedoeproctophile,Forbidden Love,deszSKLSOLcz,['Distortion Guitar'],Beginner,2/8,0.12,0.88,0.63,0.51,Beginner,2/8,0.46,0.45,Beginner,7/8,Intermediate,8/8,Intermediate,6/8
5761,Katatonia,Rein,Guitar 1,['Distortion Guitar'],Beginner,2/8,0.33,0.53,0.03,0.62,Beginner,2/8,0.14,0.8,Intermediate,7/8,Beginner,8/8,Beginner,7/8
5762,Katatonia,Heart Set to Divide,Guitar 3,['Distortion Guitar'],Intermediate,3/8,0.9,0.17,0.84,0.41,Intermediate,3/8,0.86,0.76,Advanced,8/8,Intermediate,2/8,Beginner,2/8
5763,Bring Me The Horizon,sTraNgeRs (Chorus),Rhythm Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.82,0.39,0.55,0.18,Intermediate,3/8,0.68,0.28,Intermediate,1/8,Intermediate,4/8,Advanced,1/8
5764,Skeletorus,Fahrenheit 451,Rhythm,['Distortion Guitar'],Intermediate,3/8,0.32,0.19,0.35,0.92,Intermediate,3/8,0.08,0.13,Advanced,1/8,Beginner,3/8,Advanced,7/8
5765,Jane Air,Вулканы,Track 1,['Electric Guitar (jazz)'],Beginner,2/8,0.23,0.34,0.11,0.17,Beginner,2/8,0.96,0.12,Advanced,5/8,Intermediate,7/8,Advanced,3/8
5766,Fit For A King,asggadsagdgasaaaaaaaaaA,Track 1,['Distortion Guitar'],Intermediate,3/8,0.21,0.47,0.69,0.14,Intermediate,3/8,0.58,0.56,Intermediate,5/8,Beginner,1/8,Intermediate,7/8
5767,My Enemies & I,Stripe,Rhythm Guitar O.D.,['Overdriven Guitar'],Beginner,2/8,0.04,0.96,0.4,0.04,Beginner,2/8,0.36,0.17,Intermediate,8/8,Intermediate,1/8,Advanced,6/8
5768,Blood Laced Misery,Untitled 31,Distortion Guitar 3,[],Intermediate,3/8,0.21,0.33,0.9,0.61,Intermediate,3/8,0.41,0.94,Beginner,2/8,Beginner,3/8,Intermediate,2/8
5769,The Raven Age,Grave of The Fireflies,Clean Rhythm,['Electric Guitar (clean)'],Beginner,2/8,0.26,0.84,0.38,0.27,Beginner,2/8,0.07,0.92,Beginner,1/8,Beginner,5/8,Intermediate,2/8
5770,Leaftrace,zhivoy,Guitar Rhytm,['Distortion Guitar'],Beginner,2/8,0.14,0.87,0.04,0.54,Beginner,2/8,0.85,0.06,Intermediate,7/8,Intermediate,1/8,Beginner,7/8
5771,My Enemies And I,Carbon Copy,Lead Guitar 1,['Distortion Guitar'],Beginner,2/8,0.97,0.88,0.39,0.59,Beginner,2/8,0.76,0.22,Advanced,7/8,Advanced,6/8,Beginner,3/8
5772,Fractal Eater,A Bleak Exercise in Time Theft,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8,0.9,0.54,0.0,0.41,Beginner,2/8,0.07,0.8,Beginner,3/8,Advanced,5/8,Intermediate,5/8
5773,Bring Me The Horizon,Can You Feel my Heart - Live,John Jones,['Distortion Guitar'],Beginner,2/8,0.14,0.93,0.97,0.79,Beginner,2/8,0.55,0.77,Intermediate,1/8,Advanced,6/8,Advanced,7/8
5774,Bring Me The Horizon,Can You Feel My Heart (Live),John Jones,['Distortion Guitar'],Beginner,2/8,0.71,0.82,0.09,0.27,Beginner,2/8,0.75,0.92,Intermediate,5/8,Advanced,1/8,Beginner,3/8
5775,Dogeplaysguitar,Teardrops (BMTH Cover),DogePlaysGuitar,['Distortion Guitar'],Beginner,2/8,0.57,0.53,0.03,0.84,Beginner,2/8,0.15,0.06,Advanced,3/8,Intermediate,8/8,Intermediate,3/8
5776,Codomo Dragon,make inu,Distortion Guitar,[],Intermediate,3/8,0.62,0.4,0.96,0.74,Intermediate,3/8,0.45,0.48,Advanced,2/8,Advanced,8/8,Advanced,1/8
5777,Tsubaki,Disconnection,Distortion Guitar 1,[],Intermediate,3/8,0.8,0.36,0.02,0.18,Intermediate,3/8,0.67,0.54,Advanced,8/8,Advanced,6/8,Beginner,1/8
5778,Waqs,Readth,Track 2,['Lead 4 (chiff)'],,,0.91,0.05,0.22,0.49,,,0.4,0.02,Intermediate,2/8,Beginner,3/8,Intermediate,8/8
5779,Shredagge,When All Light Dies,Overdriven Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.82,0.26,0.45,0.59,Intermediate,4/8,0.93,0.2,Intermediate,4/8,Intermediate,2/8,Beginner,3/8
5780,Fit For A King,Reaper,Distortion Guitar,[],Intermediate,3/8,0.56,0.2,0.7,0.96,Intermediate,3/8,0.19,0.98,Advanced,4/8,Advanced,8/8,Advanced,8/8
5781,The Gazette,THE PALE,URUHA,['Distortion Guitar'],Intermediate,3/8,0.05,0.23,0.62,0.05,Intermediate,3/8,0.16,0.53,Advanced,5/8,Intermediate,6/8,Beginner,4/8
5782,Testing,wamereded,Pat,"['Guitar', 'Distortion Guitar']",Intermediate,4/8,0.77,0.02,0.85,0.34,Intermediate,4/8,0.38,0.71,Beginner,4/8,Beginner,4/8,Beginner,1/8
5783,Gazette,The Pale,URUHA Clean,['Electric Guitar (clean)'],Intermediate,3/8,0.74,0.13,0.5,0.12,Intermediate,3/8,0.1,0.72,Advanced,1/8,Beginner,6/8,Advanced,1/8
5784,Like Moths To Flames,New Plagues,Right,['Distortion Guitar'],Intermediate,3/8,0.81,0.32,0.05,0.26,Intermediate,3/8,0.18,0.29,Intermediate,5/8,Beginner,1/8,Advanced,3/8
5785,Like Moths To Flames,The Blackout,Right Rhythm,['Distortion Guitar'],Beginner,2/8,0.15,0.78,0.98,0.51,Beginner,2/8,0.37,0.65,Beginner,5/8,Advanced,3/8,Advanced,2/8
5786,Like Moths To Flames,Do Not Resuscitate,Distortion Guitar,[],Intermediate,3/8,0.94,0.95,0.23,0.86,Intermediate,3/8,0.16,0.03,Intermediate,1/8,Intermediate,5/8,Intermediate,6/8
5787,Like Moths To Flames,You'll Burn,Distortion Guitar,[],Beginner,2/8,0.14,0.38,0.75,0.03,Beginner,2/8,0.68,0.92,Intermediate,7/8,Advanced,5/8,Intermediate,2/8
5788,Like Moths To Flames,Habitual Decline,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.07,0.62,0.7,0.44,Intermediate,3/8,0.55,0.11,Intermediate,3/8,Advanced,2/8,Advanced,4/8
5789,Like Moths To Flames,A Servant Of Plague,Rhythm,['Overdriven Guitar'],Intermediate,4/8,0.86,0.08,0.32,0.48,Intermediate,4/8,0.43,0.67,Intermediate,1/8,Beginner,3/8,Intermediate,7/8
5790,Like Moths To Flames,Praise Feeder,Track 1,['Distortion Guitar'],Beginner,2/8,0.5,0.86,0.39,0.04,Beginner,2/8,0.02,0.16,Beginner,7/8,Intermediate,1/8,Beginner,1/8
5791,Like Moths To Flames,What's Done Is Done,Track 1,['Distortion Guitar'],Intermediate,3/8,0.73,0.36,0.16,0.05,Intermediate,3/8,0.97,0.3,Advanced,8/8,Beginner,1/8,Intermediate,5/8
5792,Abstract Dissonance,Eternal Torment,Distortion Guitar,[],Intermediate,5/8,0.68,0.53,0.05,0.28,Intermediate,5/8,0.03,0.48,Intermediate,6/8,Intermediate,6/8,Intermediate,4/8
5793,Bakynsified,Эмансипация Ребенка,Track 2,['Distortion Guitar'],Intermediate,4/8,0.63,0.71,0.47,0.24,Intermediate,4/8,0.0,0.95,Beginner,6/8,Intermediate,7/8,Intermediate,1/8
5794,In Flames,(This Is Our) House,Bjorn,['Distortion Guitar'],Beginner,2/8,0.58,0.26,0.17,0.13,Beginner,2/8,0.7,0.29,Intermediate,8/8,Intermediate,1/8,Intermediate,3/8
5795,Black Winter,Callous,Track 3,['Distortion Guitar'],Advanced,8/8,0.95,0.56,0.58,0.91,Advanced,8/8,0.06,0.11,Advanced,2/8,Beginner,5/8,Intermediate,5/8
5796,Black Winter,Slip,Track 3,['Distortion Guitar'],Advanced,8/8,0.95,0.6,0.4,0.85,Advanced,8/8,0.72,0.51,Beginner,1/8,Advanced,1/8,Beginner,6/8
5797,ტუტორი,ტუტორირანდომ,Distortion Guitar,[],Intermediate,4/8,0.85,0.39,0.53,0.75,Intermediate,4/8,0.72,0.27,Advanced,1/8,Advanced,5/8,Advanced,8/8
5798,I Prevail,Chaos,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8,0.48,0.81,0.64,0.33,Beginner,2/8,0.14,0.86,Beginner,8/8,Advanced,8/8,Beginner,7/8
5799,Alloytuber,Aftermath Of The Afterlife,Rhythm (left),['Distortion Guitar'],Intermediate,3/8,0.6,0.81,0.72,0.42,Intermediate,3/8,0.92,0.46,Advanced,7/8,Intermediate,6/8,Beginner,6/8
5800,Wind Rose,Gates Of Ekrund,Claudio Falconcini,['Distortion Guitar'],Beginner,2/8,0.91,0.69,0.58,0.09,Beginner,2/8,0.18,0.74,Intermediate,5/8,Beginner,5/8,Advanced,2/8
5801,Motionless In White,Thoughts & Prayers (Drop C),Honky-tonk Piano,[],,,0.09,0.46,0.11,0.94,,,0.98,0.13,Beginner,7/8,Intermediate,8/8,Advanced,3/8
5802,Asking Alexandria,Alone Again,Track 1,['Distortion Guitar'],Intermediate,3/8,0.57,0.6,0.38,0.82,Intermediate,3/8,0.06,0.89,Beginner,1/8,Intermediate,4/8,Advanced,6/8
5803,Glint,test 1,Track 1,['Distortion Guitar 1'],Intermediate,4/8,0.55,0.53,0.43,0.12,Intermediate,4/8,0.4,0.21,Beginner,2/8,Intermediate,6/8,Beginner,3/8
5804,Nurié,seiten ni hoeru,Distortion Guitar,[],Intermediate,3/8,0.59,0.51,0.76,0.74,Intermediate,3/8,0.41,0.09,Advanced,3/8,Advanced,7/8,Intermediate,2/8
5805,Eonia,At The End Of Your Life,LABS (64 Bit),['Electric Guitar (clean) 1'],Intermediate,3/8,0.51,0.12,0.83,0.78,Intermediate,3/8,0.56,0.4,Beginner,7/8,Advanced,8/8,Advanced,5/8
5806,Fredguitarist,Collection of Riffs by Fred,Fred (Baritone A#),['Distortion Guitar'],Intermediate,4/8,0.17,0.61,0.15,0.3,Intermediate,4/8,0.41,0.98,Advanced,6/8,Advanced,5/8,Beginner,4/8
5807,Deathkite,Survival of the Cruelest,Rhythm Guitar,['Distortion Guitar'],Intermediate,3/8,0.6,0.25,0.32,0.07,Intermediate,3/8,0.89,0.19,Intermediate,5/8,Advanced,5/8,Advanced,5/8
5808,Parasitic Ejaculation,Slow Torture Chamber,Distortion Guitar 2,[],Intermediate,4/8,0.73,0.95,0.74,0.96,Intermediate,4/8,0.31,0.14,Advanced,1/8,Beginner,4/8,Beginner,3/8
5809,Motionless In White,Headache,"Ricky ""Horror"" Olson","['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8,0.13,0.78,0.43,0.35,Intermediate,3/8,0.69,0.81,Beginner,4/8,Intermediate,7/8,Intermediate,5/8
5810,Д,д,Lead 1 (square),[],,,0.03,0.06,0.7,0.08,,,0.16,0.92,Advanced,1/8,Advanced,8/8,Beginner,4/8
5811,In Flames,Burn,Rythm Guitar,['Distortion Guitar'],Intermediate,4/8,0.78,0.01,0.06,0.21,Intermediate,4/8,0.3,0.44,Advanced,5/8,Beginner,6/8,Intermediate,3/8
5812,Ben Mason,Synth Solo,Distortion Guitar 2,[],Intermediate,3/8,0.36,0.45,0.94,0.9,Intermediate,3/8,0.85,0.93,Advanced,5/8,Intermediate,2/8,Advanced,5/8
5813,Portrayal Of Guilt,The Sixth Circle,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.14,0.6,0.71,0.98,Intermediate,3/8,0.13,0.28,Advanced,7/8,Intermediate,6/8,Beginner,8/8
5814,Long Term Memory,Scorn,Track 1,['Distortion Guitar'],Intermediate,3/8,0.11,0.7,0.66,0.68,Intermediate,3/8,0.42,0.33,Intermediate,3/8,Beginner,8/8,Intermediate,5/8
5815,Out Of My Eyes,GOLDON,Distortion Guitar,[],Intermediate,3/8,0.59,0.56,0.55,0.51,Intermediate,3/8,0.75,0.91,Beginner,8/8,Intermediate,8/8,Beginner,8/8
5816,Out Of My Eyes,Blue Cloud,Distortion Rythm 2 Guitar,['Distortion Guitar'],Intermediate,3/8,0.24,0.19,0.31,0.35,Intermediate,3/8,0.87,0.93,Beginner,1/8,Beginner,4/8,Advanced,1/8
5817,Bullet For My Valentine,The Poison But Lower And More Lead,Zweite Stimme,['Distortion Guitar'],Intermediate,3/8,0.9,0.01,0.43,0.25,Intermediate,3/8,0.67,0.11,Beginner,1/8,Advanced,2/8,Intermediate,7/8
5818,Tbt,Selfish Creatures,Rhythm,['Distortion Guitar'],Intermediate,3/8,0.9,0.6,0.08,0.42,Intermediate,3/8,0.69,0.14,Intermediate,6/8,Intermediate,5/8,Intermediate,6/8
5819,Like Moths To Flame,Ameliorate,Distortion Guitar,[],Intermediate,4/8,0.03,0.6,0.75,0.32,Intermediate,4/8,0.23,0.96,Beginner,8/8,Beginner,2/8,Intermediate,7/8
5820,Skeletorus,The Storm Of Shards,Lead,['Distortion Guitar'],Intermediate,4/8,0.19,0.58,0.05,0.52,Intermediate,4/8,0.23,0.37,Advanced,4/8,Advanced,3/8,Beginner,6/8
5821,Shishiga,Ф,Клавиши,['Electric Piano 1'],,,0.7,0.75,0.19,0.97,,,0.45,0.58,Advanced,1/8,Advanced,3/8,Advanced,7/8
5822,Shishiga,photo,Клавиши,['Electric Piano 1'],,,0.12,0.38,0.53,0.98,,,0.94,0.77,Advanced,2/8,Advanced,3/8,Beginner,1/8
5823,Forged In Ice,AlloyTUBER,Violin,['String Ensemble 1'],,,0.92,0.86,0.59,0.72,,,0.15,0.42,Beginner,6/8,Advanced,5/8,Advanced,2/8
5824,Forged In Ice,Alloy_TUBER,Distortion Guitar 2,[],Intermediate,3/8,0.97,0.24,0.34,0.55,Intermediate,3/8,0.99,0.8,Beginner,5/8,Beginner,2/8,Advanced,8/8
5825,Alloytuber,Forged In Ice,Violin,['String Ensemble 1'],,,0.47,0.71,0.58,0.05,,,0.54,0.64,Intermediate,4/8,Beginner,7/8,Intermediate,7/8
5826,We Came As Romans,Black Hole,Track 1,['Distortion Guitar'],Intermediate,3/8,0.42,0.32,0.4,0.11,Intermediate,3/8,0.56,0.72,Beginner,6/8,Advanced,5/8,Intermediate,7/8
5827,Sentient,Post Nut Clarity,Track 6,['Reverse Cymbal'],,,0.98,0.54,0.37,0.11,,,0.91,0.97,Beginner,2/8,Intermediate,7/8,Intermediate,5/8
5828,Silverstein,Ultraviolet,LEAD GTR 2,['Overdriven Guitar'],Intermediate,3/8,0.18,0.31,0.55,0.95,Intermediate,3/8,0.42,0.7,Advanced,6/8,Intermediate,1/8,Advanced,7/8
5829,Razor,akaku chirabaru hana,Distortion Guitar,[],Intermediate,3/8,0.91,0.28,0.17,0.82,Intermediate,3/8,0.5,0.8,Intermediate,1/8,Intermediate,2/8,Beginner,7/8
5830,Acid Bath,Venus Blue (WIP),Track 2,['Distortion Guitar'],Intermediate,3/8,0.83,0.34,0.45,0.08,Intermediate,3/8,0.48,0.74,Intermediate,5/8,Advanced,5/8,Beginner,7/8
5831,Draft Shit,shit,Distortion Guitar 1,[],Intermediate,3/8,0.5,0.86,0.13,0.15,Intermediate,3/8,0.38,0.98,Advanced,1/8,Beginner,4/8,Advanced,8/8
5832,To The Garve,The Screams of the widow's Son,Pista 1,['Distortion Guitar'],Intermediate,3/8,0.55,0.58,0.87,0.52,Intermediate,3/8,0.07,0.31,Advanced,8/8,Intermediate,3/8,Intermediate,6/8
5833,Ismail,Of Flesh,Dan,['Electric Guitar (clean)'],Intermediate,3/8,0.93,0.3,0.56,0.15,Intermediate,3/8,0.23,0.95,Beginner,3/8,Advanced,3/8,Advanced,8/8
5834,Shishiga,Фотография,Клавиши,['Electric Piano 1'],,,0.62,0.8,0.41,0.69,,,0.16,0.49,Intermediate,4/8,Intermediate,6/8,Intermediate,2/8
5835,.44 Caliber Love Letter,Idea#1,Pasha Rhythm,['Distortion Guitar'],Advanced,8/8,0.97,0.23,0.93,0.08,Advanced,8/8,0.9,0.48,Beginner,5/8,Intermediate,6/8,Intermediate,5/8
5836,Gazette,DAKU,URUHA,['Distortion Guitar'],Intermediate,3/8,0.59,0.52,0.43,0.45,Intermediate,3/8,0.7,0.05,Intermediate,3/8,Beginner,6/8,Advanced,8/8
5837,Bring Me The Horizon,Throne (A# Tunning),Jordan Fish / Lee Malia,['Lead 1 (square)'],,,0.4,0.76,0.23,0.37,,,0.99,0.6,Intermediate,8/8,Advanced,7/8,Beginner,7/8
5838,Coldrain,See You,gtr rhy,['Distortion Guitar'],Intermediate,3/8,0.02,0.68,0.1,0.15,Intermediate,3/8,0.55,0.92,Intermediate,4/8,Beginner,5/8,Beginner,8/8
5839,Static-X,Set It Off,Wayne Static,['Distortion Guitar'],Intermediate,3/8,0.29,0.38,0.82,0.81,Intermediate,3/8,0.66,0.84,Advanced,4/8,Beginner,3/8,Intermediate,2/8
5840,Bring Me The Horizon,Can You Feel my Heart (drop A#),John Jones,['Distortion Guitar'],Beginner,2/8,0.63,0.1,0.58,0.14,Beginner,2/8,0.57,0.71,Beginner,4/8,Advanced,5/8,Beginner,5/8
5841,My Anarchist Angel,nya?,Distortion Guitar 2,[],Intermediate,3/8,0.39,0.47,0.1,0.95,Intermediate,3/8,0.81,0.94,Advanced,7/8,Beginner,3/8,Intermediate,1/8
5842,Falling In Reverse,Zombified,Rhythm R,['Distortion Guitar'],Intermediate,3/8,0.63,0.16,0.92,0.86,Intermediate,3/8,0.18,0.99,Beginner,5/8,Beginner,4/8,Beginner,2/8
5843,Ingvar,The Ghost Of Kyiv,Distortion Guitar 2,[],Intermediate,3/8,0.91,0.28,0.24,0.07,Intermediate,3/8,0.42,0.08,Beginner,4/8,Advanced,3/8,Intermediate,1/8
5844,Hypocrisy,Chemical Whore,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.26,0.95,0.41,0.81,Intermediate,3/8,0.3,0.52,Intermediate,3/8,Advanced,6/8,Advanced,1/8
5845,Corprus,Diseased,Track 1,['Distortion Guitar'],Intermediate,3/8,0.79,0.72,0.68,0.58,Intermediate,3/8,0.27,0.23,Advanced,2/8,Intermediate,3/8,Advanced,8/8
